epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6355,1.93647,15.3802,2.20413,5e-05,0.0303,9e-05,2e-05,1.63515,11.7218,2.38245,2.191e-05,2.191e-05,2.191e-05
2,30.5406,1.65904,12.2576,1.92818,0.92373,0.0303,0.01481,0.00928,1.23031,6.56278,1.66481,4.6369e-05,4.6369e-05,4.6369e-05
3,39.9006,1.19796,7.80109,1.36954,0.87094,0.09156,0.10333,0.06379,1.13057,6.88338,1.55349,7.02082e-05,7.02082e-05,7.02082e-05
4,49.1113,1.12836,6.42689,1.35993,0.23423,0.33333,0.21589,0.14271,0.99985,8.84146,1.17971,9.34278e-05,9.34278e-05,9.34278e-05
5,57.2878,1.12512,5.97093,1.30873,0.05152,0.66667,0.16763,0.12873,1.03345,7.39706,1.18933,0.000116028,0.000116028,0.000116028
6,63.7888,1.0767,5.23223,1.24691,0.08316,0.71212,0.45603,0.32864,0.98881,5.35801,1.09691,0.000138008,0.000138008,0.000138008
7,70.0984,1.07743,5.07152,1.26355,0.04738,0.74242,0.27048,0.20574,1.05962,4.9473,1.09368,0.000159368,0.000159368,0.000159368
8,76.2975,1.10588,4.40044,1.2772,0.35513,0.43242,0.42257,0.3099,0.96594,4.18692,1.03309,0.000180108,0.000180108,0.000180108
9,82.4927,1.02488,4.08882,1.2534,0.34356,0.63636,0.51451,0.39586,0.98344,3.16749,1.03804,0.000200229,0.000200229,0.000200229
10,88.572,1.06573,3.78727,1.22219,0.24293,0.5,0.536,0.40244,1.03561,2.60987,1.04388,0.00021973,0.00021973,0.00021973
11,94.976,1.0964,3.71412,1.30001,0.35728,0.42424,0.52207,0.38751,1.02475,2.54785,1.05405,0.000238612,0.000238612,0.000238612
12,100.714,1.01664,3.36673,1.20212,0.33896,0.54545,0.47364,0.35922,0.98252,2.4426,1.06059,0.000256873,0.000256873,0.000256873
13,107.296,0.96875,3.08374,1.19951,0.5532,0.31818,0.39994,0.2938,0.95816,2.88075,1.06023,0.00026652,0.00026652,0.00026652
14,112.894,0.98941,2.82929,1.17793,0.5507,0.45322,0.33387,0.25124,1.01321,2.96707,1.08963,0.000262646,0.000262646,0.000262646
15,119.112,1.01058,2.83438,1.21206,0.6386,0.35372,0.66032,0.50417,1.07163,2.16075,1.11084,0.000258773,0.000258773,0.000258773
16,125.16,0.99392,2.69953,1.18854,0.4647,0.53906,0.70261,0.54328,0.95808,2.22864,1.03293,0.000254899,0.000254899,0.000254899
17,131.212,1.01816,2.51707,1.21222,0.43838,0.57372,0.57906,0.45522,0.92863,2.44083,1.01902,0.000251026,0.000251026,0.000251026
18,137.193,0.94423,2.23866,1.19193,0.34836,0.67903,0.66991,0.52429,0.94765,2.04235,1.07368,0.000247153,0.000247153,0.000247153
19,143.204,0.99417,2.23625,1.17358,0.54802,0.75287,0.72217,0.57171,0.93072,1.61025,1.05261,0.000243279,0.000243279,0.000243279
20,149.363,0.93482,2.01845,1.15707,0.61671,0.63636,0.73721,0.56525,0.88529,2.25099,1.02589,0.000239406,0.000239406,0.000239406
21,155.583,0.91193,1.86644,1.16224,0.60491,0.60682,0.65572,0.49087,1.00584,2.3237,1.04843,0.000235533,0.000235533,0.000235533
22,161.767,0.85685,1.79633,1.11759,0.49147,0.74293,0.74621,0.56104,1.03775,1.98332,1.06848,0.000231659,0.000231659,0.000231659
23,167.6,0.83444,1.64789,1.08578,0.56695,0.76389,0.69891,0.551,1.02021,2.21353,1.0679,0.000227786,0.000227786,0.000227786
24,173.705,0.82848,1.47378,1.07053,0.54475,0.8195,0.72891,0.55599,1.02944,1.73924,1.06817,0.000223912,0.000223912,0.000223912
25,179.73,0.80908,1.41823,1.08458,0.69384,0.60485,0.74173,0.57069,1.07196,1.69565,1.09699,0.000220039,0.000220039,0.000220039
26,186.43,0.84604,1.49728,1.14479,0.55021,0.62589,0.76886,0.55235,1.11575,1.84364,1.12637,0.000216166,0.000216166,0.000216166
27,192.488,0.79788,1.38281,1.09509,0.72439,0.70221,0.79216,0.60748,1.09032,1.66191,1.1315,0.000212292,0.000212292,0.000212292
28,199.095,0.86961,1.38308,1.1142,0.75571,0.68182,0.84417,0.65285,1.04338,1.73561,1.10899,0.000208419,0.000208419,0.000208419
